title,article,ref,lat,lon,tz,height,type,id,tslist
Pevek (weather station),in,Pevek_(weather_station),69.7879,170.59399,+12:00,3,synop,25051,Pevek
Valkarkay,in,Valkarkay,70.0833,170.9166,+12:00,6,synop,21978,Valkarkay
Ostrovnoye,in,Ostrovnoye,68.1166,164.1666,+12:00,94,synop,25138,Ostrovnoye
Bilibino,in,Bilibino,68.05,166.4333,+12:00,276,synop,25147,Bilibino
Baimka,in,Baimka,66.5666,164.25,+12:00,280,synop,25335,Baimka
Ilirney,in,Ilirney,67.25,167.9666,+12:00,353,synop,25248,Ilirney
Mukhomornoye,in,Mukhomornoye,66.3833,173.3333,+12:00,77,synop,25356,Mukhomornoye
Omolon,in,Omolon,64.2333,160.5333,+12:00,265,synop,25428,Omolon
Markovo,in,Markovo,64.6833,170.4166,+12:00,33,synop,25551,Markovo
Kanchalan,in,Kanchalan,65.1833,176.75,+12:00,26,synop,25469,Kanchalan
Anadyr,in,Anadyr,64.7333,177.5166,+12:00,62,synop,25563,Anadyr
Anadyr / Ugolnye Kopi (airport),in,"Anadyr,_Ugolnye_Kopi_(airport),_METAR",64.735,177.742,+12:00,59,metar,4932,AnadyrUgolnyeKopi
Tanyurer,in,Tanyurer,64.8666,174.4166,+12:00,8,synop,25561,Tanyurer
Cape Uelen,in,Cape%C2%A0Uelen,66.1666,-169.8333,+12:00,7,synop,25399,CapeUelen
Nome (airport),in,Nome_(airport),64.5122,-165.44501,-09:00,11,synop,70200,NomeAir
Savoonga (airport),in,"Savoonga_(airport),_METAR",63.6864,-170.493,-09:00,16,metar,4327,SavoongaAir
Teller (airport),in,"Teller_(airport),_METAR",65.2403,-166.339,-09:00,90,metar,4343,TellerAir
Kotzebue (airport),in,"Kotzebue_(airport),_METAR",66.8847,-162.599,-09:00,4,metar,4313,KotzebueAir
Wrangel Island,on,Wrangel_Island,70.9833,-178.4333,+12:00,3,synop,21982,WrangelIsland
Kvitoya Island,on,Kvitoya_Island,80.1,31.4,+01:00,16,synop,1011,KvitoyaIsland


